"","site","mean_residual","rmse"
"1","ARH1",0.0655965889228847,1.49181525658846
"2","ARH2",-0.00465833740641949,0.940413644392815
"3","COH1",0.114347122222249,1.64425773991442
"4","DEH1",-0.0238867566110925,2.05472039422148
"5","GAH1",-0.13100822118294,1.99513496885224
"6","GAH2",0.0246708567998191,1.82963753070974
"7","IAH1",-0.0298601698697683,1.93249533501776
"8","IAH1a",0.115366328634538,1.57338234467306
"9","IAH1b",0.0811930043277386,1.39645949799496
"10","IAH1c",0.273139763408564,1.45281586943989
"11","IAH2",0.0178533624137968,2.21004587069052
"12","IAH3",0.0291605509978997,2.05374187700929
"13","IAH4",0.00523669516120211,1.8490892036544
"14","ILH1",-0.034422685067298,1.88404720079856
"15","INH1",0.0208334854127347,1.78259476657415
"16","KSH1",0.0622155290851695,2.01905123931085
"17","MIH1",-0.116711152255538,1.77068304545829
"18","MNH1",0.10481799205235,1.6509686127873
"19","MOH1",0.0493879944633947,1.56198387015076
"20","MOH2",0.105451842510487,1.75991118123387
"21","NCH1",0.0105876344207339,1.58368436798944
"22","NEH1",-0.0676918560630786,2.21652482010355
"23","NEH2",0.0238142344649806,1.71132165487052
"24","NEH3",0.0337562732164747,1.80957904888508
"25","NEH4",-0.263730256211727,1.49266410736032
"26","NYH1",0.0793371945323186,1.82145794319039
"27","NYH2",0.0212688331811281,1.88185768106053
"28","NYH3",0.171638401130665,1.98957819883873
"29","NYS1",-0.425088143147172,2.34269087288864
"30","OHH1",0.0101912917757427,1.86911933237841
"31","ONH1",-0.0986463037601386,1.89888864107259
"32","ONH2",-7.03436526022729e-05,1.56243976335883
"33","SCH1",-0.00718651350686173,1.43125986467953
"34","SDH1",-0.10913181965298,1.8304488683585
"35","TXH1",0.0230625528333834,1.7054884921113
"36","TXH1-Dry",0.198407849019274,1.42920401245873
"37","TXH1-Early",-0.03003148207571,1.31281396820652
"38","TXH1-Late",0.0464290526326354,1.08708257386222
"39","TXH2",0.0278221183302194,1.8941367115503
"40","TXH3",-0.0759045374797705,1.50264681940537
"41","WIH1",-0.0108598660162527,2.17544891617349
"42","WIH2",-0.0239483166784435,2.18187932174424
"43","WIH3",-0.165798561488428,2.19908017240456
