"","site","mean_residual","rmse"
"1","ARH1",-0.0496541219575804,1.54876747528498
"2","ARH2",-0.00959793328496998,0.940993914456868
"3","COH1",0.0612968406127272,1.62356043540511
"4","DEH1",-0.057678859769182,2.13542074852472
"5","GAH1",-0.126365347377669,1.95475563799631
"6","GAH2",0.0149235940448407,1.73905524559419
"7","IAH1",-0.0193349978861878,1.95440259756705
"8","IAH1a",0.105204060205097,1.48892152565207
"9","IAH1b",-0.0762400493938137,1.2868692458138
"10","IAH1c",0.118105433968421,1.41474916803558
"11","IAH2",0.00926887054692105,2.21347490234664
"12","IAH3",0.0295187952289015,2.02541863264023
"13","IAH4",9.8284193964395e-05,1.80220141390992
"14","ILH1",-0.0493313516146946,1.83750046307535
"15","INH1",-0.0320467110286391,1.72021318819828
"16","KSH1",-0.0748833073590559,1.94704830668049
"17","MIH1",-0.118554906272155,1.765014109188
"18","MNH1",0.0329019788212913,1.59482887964734
"19","MOH1",0.0468794508401566,1.53413098780658
"20","MOH2",0.100565614632555,1.69286162553476
"21","NCH1",0.000122546765418043,1.54076183385483
"22","NEH1",-0.052418513221094,2.20810538178031
"23","NEH2",-0.0293998862499839,1.63695482514565
"24","NEH3",0.0528253169846389,1.77899786910154
"25","NEH4",-0.219707648727693,1.52121719775855
"26","NYH1",0.0611042781912688,1.81830354744381
"27","NYH2",-0.0222165689299667,1.85959407454383
"28","NYH3",0.042569270534504,1.92497250295079
"29","NYS1",-0.214101797684415,2.31142908960944
"30","OHH1",-0.0284304817798513,1.89990575699509
"31","ONH1",-0.213895947337878,1.84226765685421
"32","ONH2",0.0108066039391767,1.50876618934665
"33","SCH1",-0.058730880088914,1.29282934102622
"34","SDH1",-0.0288473481411387,1.74057191646768
"35","TXH1",0.0246179866627992,1.65323895691802
"36","TXH1-Dry",0.169072612095889,1.3683475630683
"37","TXH1-Early",0.0669827631369315,1.38650492905846
"38","TXH1-Late",0.0476072249464369,1.09701670342818
"39","TXH2",-0.025696204899443,1.83398341723365
"40","TXH3",-0.0936643401185585,1.51507100676977
"41","WIH1",0.0397290635803569,2.22179868554082
"42","WIH2",-0.00530423050625972,2.19487886992917
"43","WIH3",-0.177839814795588,2.20729258203813
